region,category,parameter,mode,powertrain,year,unit,value,total_vehicles_sold
Arizona,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,48834.54,398
Florida,Commercial Vehicles,EV Stock,Vans,BEV,2022,Charging Point,32171.03,361
Washington,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Charging Point,25073.55,113
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Charging Point,4996.42,98
Arizona,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Percent,41066.12,229
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,32154.93,244
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Vehicles,5515.36,458
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2024,Percent,12358.89,452
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Charging Point,26928.61,489
Illinois,Passenger Vehicles,EV Sales,Buses,BEV,2020,Vehicles,2348.62,408
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Vehicles,35943.67,540
Washington,Passenger Vehicles,EV Stock,Bikes,BEV,2021,Vehicles,11466.91,355
Washington,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Percent,24536.56,455
New York,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Percent,12158.01,345
Nevada,Passenger Vehicles,EV Stock,Cars,BEV,2018,Vehicles,24510.43,478
Illinois,Passenger Vehicles,EV Stock,Cars,BEV,2018,Percent,9564.98,351
Texas,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,29736.64,454
Washington,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Charging Point,45529.3,394
Nevada,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Charging Point,40386.06,400
Texas,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Percent,12151.89,270
Illinois,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Percent,24955.66,384
California,Commercial Vehicles,EV Sales,Vans,BEV,2019,Percent,21213.11,371
Georgia,Passenger Vehicles,EV Stock,Bikes,BEV,2021,Vehicles,48277.21,460
Nevada,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Charging Point,39961.17,390
Colorado,Commercial Vehicles,EV Stock,Cars,BEV,2024,Vehicles,5460.69,455
California,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Vehicles,8510.76,380
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Charging Point,35131.22,461
New York,Commercial Vehicles,EV Stock,Vans,BEV,2022,Percent,8076.92,421
Arizona,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Vehicles,47528.38,429
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,49648.05,446
Colorado,Passenger Vehicles,EV Sales,Cars,BEV,2020,Percent,38940.71,409
New York,Commercial Vehicles,EV Stock,Buses,BEV,2021,Percent,1437.33,439
Illinois,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,24188.07,394
New York,Commercial Vehicles,EV Sales,Buses,BEV,2018,Vehicles,20363.37,421
Arizona,Commercial Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,39996.83,443
Illinois,Passenger Vehicles,EV Sales,Bikes,PHEV,2023,Vehicles,14421.72,581
Colorado,Commercial Vehicles,EV Sales,Cars,BEV,2024,Charging Point,19367.69,371
Arizona,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,4765.72,340
Texas,Commercial Vehicles,EV Stock,Buses,PHEV,2019,Percent,17197.54,431
Florida,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,48695.31,411
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Charging Point,47113.28,274
Texas,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Percent,37537.93,288
Georgia,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Percent,45372.46,470
Colorado,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Percent,10637.41,420
Georgia,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,31129.41,324
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,25048.61,364
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2024,Vehicles,21192.23,454
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,16309.27,505
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Percent,43329.35,465
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Vehicles,24276.81,439
New York,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Vehicles,36229.27,507
California,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,35326.92,448
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2022,Percent,6889.95,517
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Percent,2541.89,457
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2024,Charging Point,42014.16,423
Florida,Commercial Vehicles,EV Sales,Cars,BEV,2023,Vehicles,24566.97,371
Texas,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Charging Point,40523.27,465
Nevada,Commercial Vehicles,EV Stock,Cars,BEV,2021,Charging Point,14923.56,460
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Vehicles,43105.42,546
Georgia,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Percent,41557.94,509
Florida,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,19145.4,398
Nevada,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Vehicles,20643.73,389
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2023,Percent,17609.53,470
Georgia,Passenger Vehicles,EV Sales,Vans,PHEV,2024,Charging Point,1837.65,403
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Charging Point,34414.26,365
Georgia,Commercial Vehicles,EV Sales,Buses,BEV,2018,Percent,13709.35,318
Florida,Passenger Vehicles,EV Stock,Cars,BEV,2022,Charging Point,44212.29,509
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,44879.12,422
Arizona,Commercial Vehicles,EV Sales,Buses,BEV,2021,Vehicles,36156.7,408
