StationID,region,Location,TotalSessions,AvgWaitTime,PeakHours
A-001,Arizona,Phoenix,2426,12 min,17-20
C-001,California,Los Angeles,915,9 min,16-19
G-001,Georgia,Atlanta,641,6 min,15-18
G-002,Georgia,Savannah,4081,5 min,16-19
W-001,Washington,Spokane,3149,11 min,15-18
G-003,Georgia,Savannah,4805,14 min,15-18
W-002,Washington,Spokane,2535,9 min,17-20
F-001,Florida,Miami,3405,12 min,17-20
A-002,Arizona,Phoenix,707,12 min,16-19
I-001,Illinois,Springfield,2347,5 min,15-18
A-003,Arizona,Tucson,740,12 min,18-21
T-001,Texas,Austin,4667,15 min,16-19
C-002,Colorado,Denver,1889,5 min,15-18
G-004,Georgia,Atlanta,610,3 min,17-20
N-001,Nevada,Las Vegas,1831,14 min,15-18
F-002,Florida,Miami,3198,15 min,18-21
T-002,Texas,Houston,1261,15 min,18-21
W-003,Washington,Spokane,184,5 min,16-19
NY-001,New York,Buffalo,525,3 min,15-18
A-004,Arizona,Tucson,522,13 min,15-18
W-004,Washington,Spokane,419,10 min,18-21
NY-002,New York,New York City,2164,4 min,18-21
C-003,Colorado,Boulder,394,6 min,17-20
C-004,Colorado,Boulder,2690,4 min,15-18
C-005,California,San Francisco,1818,4 min,16-19
I-002,Illinois,Chicago,432,7 min,16-19
T-003,Texas,Austin,3708,13 min,18-21
F-003,Florida,Miami,1711,12 min,15-18
W-005,Washington,Seattle,4064,14 min,15-18
C-006,California,San Francisco,4560,9 min,18-21
T-004,Texas,Dallas,1602,14 min,18-21
C-007,California,San Diego,2545,8 min,17-20
T-005,Texas,Austin,2371,14 min,15-18
W-006,Washington,Seattle,471,12 min,17-20
F-004,Florida,Orlando,1192,15 min,18-21
W-007,Washington,Seattle,4811,8 min,17-20
C-008,California,San Francisco,1548,12 min,17-20
NY-003,New York,Buffalo,2360,11 min,17-20
T-006,Texas,Austin,1013,11 min,17-20
N-002,Nevada,Reno,845,11 min,16-19
G-005,Georgia,Savannah,1523,5 min,18-21
A-005,Arizona,Tucson,2070,15 min,15-18
C-009,Colorado,Boulder,4410,3 min,17-20
T-007,Texas,Houston,3877,9 min,18-21
G-006,Georgia,Atlanta,3197,6 min,18-21
G-007,Georgia,Atlanta,2166,15 min,18-21
N-003,Nevada,Las Vegas,4954,5 min,18-21
N-004,Nevada,Las Vegas,1393,6 min,17-20
C-010,California,Los Angeles,2204,8 min,16-19
W-008,Washington,Spokane,2883,6 min,15-18
C-011,Colorado,Denver,2223,3 min,16-19
C-012,California,San Diego,3049,15 min,17-20
I-003,Illinois,Springfield,4242,15 min,18-21
NY-004,New York,New York City,1401,3 min,18-21
C-013,California,San Francisco,4515,8 min,16-19
N-005,Nevada,Las Vegas,2047,10 min,18-21
C-014,Colorado,Boulder,3088,4 min,15-18
NY-005,New York,Albany,2641,11 min,18-21
NY-006,New York,Albany,3967,15 min,18-21
N-006,Nevada,Reno,4888,6 min,16-19
I-004,Illinois,Springfield,1489,5 min,16-19
F-005,Florida,Miami,1302,13 min,18-21
C-015,Colorado,Denver,3311,4 min,16-19
F-006,Florida,Orlando,2374,13 min,15-18
T-008,Texas,Houston,4229,8 min,17-20
NY-007,New York,Albany,4332,7 min,16-19
G-008,Georgia,Atlanta,2398,6 min,15-18
T-009,Texas,Austin,187,13 min,18-21
T-010,Texas,Dallas,843,9 min,15-18
N-007,Nevada,Reno,4357,8 min,15-18
C-016,California,San Francisco,1811,7 min,16-19
T-011,Texas,Houston,3513,7 min,17-20
C-017,California,San Diego,2471,12 min,15-18
C-018,Colorado,Boulder,4792,5 min,17-20
NY-008,New York,Albany,4422,10 min,17-20
C-019,Colorado,Boulder,4362,11 min,16-19
N-008,Nevada,Reno,3339,5 min,16-19
F-007,Florida,Orlando,226,12 min,17-20
T-012,Texas,Houston,4670,6 min,15-18
G-009,Georgia,Savannah,2284,3 min,16-19
I-005,Illinois,Springfield,933,13 min,15-18
W-009,Washington,Spokane,4312,5 min,16-19
A-006,Arizona,Tucson,4309,14 min,18-21
C-020,Colorado,Boulder,3252,3 min,17-20
F-008,Florida,Orlando,840,7 min,16-19
T-013,Texas,Houston,1304,7 min,15-18
W-010,Washington,Spokane,4694,4 min,15-18
I-006,Illinois,Chicago,459,4 min,18-21
I-007,Illinois,Chicago,742,10 min,17-20
W-011,Washington,Seattle,4683,4 min,16-19
G-010,Georgia,Atlanta,1940,9 min,16-19
NY-009,New York,Albany,1061,13 min,18-21
G-011,Georgia,Atlanta,4559,6 min,18-21
I-008,Illinois,Chicago,242,11 min,17-20
C-021,California,Los Angeles,4035,8 min,17-20
NY-010,New York,New York City,2666,6 min,16-19
A-007,Arizona,Tucson,2329,7 min,15-18
W-012,Washington,Seattle,4330,5 min,16-19
W-013,Washington,Spokane,3978,12 min,15-18
A-008,Arizona,Phoenix,3020,14 min,18-21
I-009,Illinois,Chicago,4639,12 min,17-20
G-012,Georgia,Atlanta,1288,14 min,16-19
I-010,Illinois,Chicago,2839,13 min,15-18
I-011,Illinois,Chicago,3057,4 min,18-21
N-009,Nevada,Reno,3806,7 min,17-20
G-013,Georgia,Savannah,2231,3 min,15-18
F-009,Florida,Orlando,381,4 min,15-18
I-012,Illinois,Chicago,3548,5 min,17-20
A-009,Arizona,Phoenix,4069,8 min,16-19
A-010,Arizona,Tucson,2395,7 min,17-20
C-022,Colorado,Denver,1409,12 min,17-20
I-013,Illinois,Springfield,3616,4 min,17-20
G-014,Georgia,Atlanta,1600,10 min,17-20
W-014,Washington,Seattle,4036,13 min,16-19
T-014,Texas,Dallas,3508,5 min,17-20
NY-011,New York,New York City,475,3 min,16-19
N-010,Nevada,Las Vegas,3578,4 min,17-20
