region,category,parameter,mode,powertrain,year,unit,value
Arizona,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,48834.54
Florida,Commercial Vehicles,EV Stock,Vans,BEV,2022,Charging Point,32171.03
Washington,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Charging Point,25073.55
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Charging Point,4996.42
Arizona,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Percent,41066.12
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,32154.93
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Vehicles,5515.36
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2024,Percent,12358.89
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Charging Point,26928.61
Illinois,Passenger Vehicles,EV Sales,Buses,BEV,2020,Vehicles,2348.62
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Vehicles,35943.67
Washington,Passenger Vehicles,EV Stock,Bikes,BEV,2021,Vehicles,11466.91
Washington,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Percent,24536.56
New York,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Percent,12158.01
Nevada,Passenger Vehicles,EV Stock,Cars,BEV,2018,Vehicles,24510.43
Illinois,Passenger Vehicles,EV Stock,Cars,BEV,2018,Percent,9564.98
Texas,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,29736.64
Washington,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Charging Point,45529.3
Nevada,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Charging Point,40386.06
Texas,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Percent,12151.89
Illinois,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Percent,24955.66
California,Commercial Vehicles,EV Sales,Vans,BEV,2019,Percent,21213.11
Georgia,Passenger Vehicles,EV Stock,Bikes,BEV,2021,Vehicles,48277.21
Nevada,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Charging Point,39961.17
Colorado,Commercial Vehicles,EV Stock,Cars,BEV,2024,Vehicles,5460.69
California,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Vehicles,8510.76
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Charging Point,35131.22
New York,Commercial Vehicles,EV Stock,Vans,BEV,2022,Percent,8076.92
Arizona,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Vehicles,47528.38
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,49648.05
Colorado,Passenger Vehicles,EV Sales,Cars,BEV,2020,Percent,38940.71
New York,Commercial Vehicles,EV Stock,Buses,BEV,2021,Percent,1437.33
Illinois,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,24188.07
New York,Commercial Vehicles,EV Sales,Buses,BEV,2018,Vehicles,20363.37
Arizona,Commercial Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,39996.83
Illinois,Passenger Vehicles,EV Sales,Bikes,PHEV,2023,Vehicles,14421.72
Colorado,Commercial Vehicles,EV Sales,Cars,BEV,2024,Charging Point,19367.69
Arizona,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,4765.72
Texas,Commercial Vehicles,EV Stock,Buses,PHEV,2019,Percent,17197.54
Florida,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,48695.31
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Charging Point,47113.28
Texas,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Percent,37537.93
Georgia,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Percent,45372.46
Colorado,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Percent,10637.41
Georgia,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,31129.41
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,25048.61
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2024,Vehicles,21192.23
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,16309.27
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Percent,43329.35
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Vehicles,24276.81
New York,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Vehicles,36229.27
California,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,35326.92
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2022,Percent,6889.95
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Percent,2541.89
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2024,Charging Point,42014.16
Florida,Commercial Vehicles,EV Sales,Cars,BEV,2023,Vehicles,24566.97
Texas,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Charging Point,40523.27
Nevada,Commercial Vehicles,EV Stock,Cars,BEV,2021,Charging Point,14923.56
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Vehicles,43105.42
Georgia,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Percent,41557.94
Florida,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,19145.4
Nevada,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Vehicles,20643.73
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2023,Percent,17609.53
Georgia,Passenger Vehicles,EV Sales,Vans,PHEV,2024,Charging Point,1837.65
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Charging Point,34414.26
Georgia,Commercial Vehicles,EV Sales,Buses,BEV,2018,Percent,13709.35
Florida,Passenger Vehicles,EV Stock,Cars,BEV,2022,Charging Point,44212.29
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,44879.12
Arizona,Commercial Vehicles,EV Sales,Buses,BEV,2021,Vehicles,36156.7
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2020,Charging Point,9160.04
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2021,Charging Point,4555.7
Illinois,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,40840.69
Texas,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,44664
Illinois,Passenger Vehicles,EV Sales,Bikes,BEV,2020,Percent,17666.75
Washington,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Percent,17712.5
Georgia,Passenger Vehicles,EV Sales,Vans,PHEV,2020,Percent,19574.77
Colorado,Commercial Vehicles,EV Stock,Bikes,BEV,2024,Vehicles,41398.35
Colorado,Passenger Vehicles,EV Sales,Vans,BEV,2023,Charging Point,35382.89
California,Passenger Vehicles,EV Stock,Cars,BEV,2023,Charging Point,6186.62
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Charging Point,31771.06
Arizona,Passenger Vehicles,EV Sales,Vans,BEV,2020,Charging Point,587.91
Colorado,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,35548.27
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2023,Percent,38255.15
California,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Percent,40765.93
Washington,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Percent,31319.57
Washington,Passenger Vehicles,EV Sales,Cars,BEV,2020,Vehicles,9111.35
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Percent,39707.96
California,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Vehicles,44999.55
Washington,Passenger Vehicles,EV Stock,Vans,BEV,2024,Charging Point,31726.43
New York,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Vehicles,13828.38
New York,Commercial Vehicles,EV Sales,Cars,BEV,2020,Vehicles,9050.1
California,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Percent,11650
Illinois,Passenger Vehicles,EV Sales,Cars,BEV,2019,Charging Point,943.52
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Vehicles,607.41
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Vehicles,14922.22
Georgia,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Vehicles,46155.69
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2024,Vehicles,31104.24
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Percent,19366.74
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2024,Percent,641.29
Washington,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Percent,49486.04
Texas,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Charging Point,22846.63
California,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Percent,49575.99
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Vehicles,36034.98
Arizona,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Vehicles,2656.82
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,42965.38
Illinois,Passenger Vehicles,EV Sales,Cars,BEV,2020,Charging Point,26566.93
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Vehicles,22691.15
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2019,Percent,37916.8
Nevada,Commercial Vehicles,EV Sales,Vans,BEV,2022,Percent,38762.57
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Vehicles,39841.84
California,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Charging Point,38050.76
New York,Passenger Vehicles,EV Stock,Cars,BEV,2019,Vehicles,32099.38
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Charging Point,33813.55
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Percent,42943.27
California,Commercial Vehicles,EV Sales,Cars,BEV,2020,Percent,34557.98
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Vehicles,5157.74
Georgia,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Percent,32310.48
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2024,Vehicles,8582.69
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2024,Vehicles,811.22
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2023,Charging Point,10786.92
Georgia,Passenger Vehicles,EV Stock,Buses,BEV,2019,Vehicles,7804.81
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Vehicles,5194.58
New York,Commercial Vehicles,EV Sales,Cars,BEV,2024,Percent,10827.84
Arizona,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Charging Point,28222.11
California,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Charging Point,7658.34
Florida,Passenger Vehicles,EV Sales,Cars,BEV,2019,Charging Point,14043.97
Florida,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Percent,42494.65
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Charging Point,44413.76
Arizona,Passenger Vehicles,EV Sales,Vans,PHEV,2018,Percent,16720.91
Arizona,Commercial Vehicles,EV Stock,Cars,BEV,2021,Charging Point,44957.66
Florida,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,29327.82
Arizona,Passenger Vehicles,EV Sales,Buses,BEV,2018,Charging Point,11395.78
New York,Passenger Vehicles,EV Stock,Buses,BEV,2019,Percent,37739.24
Nevada,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Percent,46112.5
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2022,Vehicles,32995.87
Georgia,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,10146.4
Colorado,Commercial Vehicles,EV Sales,Bikes,BEV,2021,Percent,4385.42
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Charging Point,11547.66
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,16991.57
Florida,Passenger Vehicles,EV Stock,Buses,BEV,2021,Vehicles,16753.39
Georgia,Passenger Vehicles,EV Sales,Cars,BEV,2020,Charging Point,24977.44
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Percent,25307.94
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2023,Vehicles,23624.49
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2019,Vehicles,17256.81
California,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Percent,5430.84
California,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,20974.08
Colorado,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,49289.44
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2020,Vehicles,32728.36
Florida,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Percent,22044.89
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Charging Point,4266.18
New York,Commercial Vehicles,EV Stock,Vans,BEV,2023,Percent,10741.11
Arizona,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,28774.9
Nevada,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Charging Point,24943.9
Washington,Commercial Vehicles,EV Sales,Vans,BEV,2023,Percent,1057.83
Colorado,Passenger Vehicles,EV Sales,Cars,BEV,2019,Percent,4403.17
Illinois,Passenger Vehicles,EV Stock,Cars,BEV,2022,Vehicles,17864.83
California,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Charging Point,7127.21
New York,Commercial Vehicles,EV Sales,Cars,BEV,2019,Vehicles,47896.35
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2020,Vehicles,1802.47
